candidate_id,source_short,model_label,split,true_label,predicted_label,count
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,trash,plastic,7
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,trash,shoes,3
nguyen_2026_handcrafted_lightgbm,Nguyen et al. 2026,LightGBM,validation,trash,trash,47
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,battery,battery,96
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,battery,biological,3
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,battery,cardboard,3
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,battery,glass,1
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,battery,metal,4
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,battery,paper,1
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,battery,shoes,5
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,biological,biological,92
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,biological,cardboard,1
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,biological,clothes,2
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,biological,glass,1
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,biological,metal,1
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,biological,paper,2
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,biological,plastic,1
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,biological,shoes,4
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,biological,trash,1
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,battery,5
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,biological,3
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,cardboard,157
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,clothes,4
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,glass,5
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,metal,8
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,paper,8
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,plastic,10
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,shoes,8
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,cardboard,trash,4
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,clothes,biological,2
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,clothes,cardboard,4
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,clothes,clothes,248
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,clothes,glass,2
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,clothes,paper,6
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,clothes,plastic,6
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,clothes,shoes,16
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,battery,2
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,biological,3
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,cardboard,6
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,clothes,9
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,glass,163
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,metal,18
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,paper,14
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,plastic,27
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,shoes,13
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,glass,trash,5
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,battery,4
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,biological,6
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,cardboard,2
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,clothes,9
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,glass,9
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,metal,89
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,paper,6
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,plastic,7
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,shoes,5
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,metal,trash,3
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,battery,1
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,biological,4
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,cardboard,9
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,clothes,9
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,glass,3
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,metal,13
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,paper,140
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,plastic,6
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,shoes,6
nguyen_2026_handcrafted_xgboost,Nguyen et al. 2026,XGBoost,validation,paper,trash,9
